31,600195,中牧股份,详情 数据 股吧,11.79,-0.59%,-2390.81万,-13.67%,-709.05万,-4.05%,-1681.76万,-9.62%,-106.37万,-0.61%,2497.18万,14.28%,农药兽药
1,600727,鲁北化工,详情 数据 股吧,7.61,9.97%,4496.40万,17.86%,3126.51万,12.42%,1369.89万,5.44%,-1432.40万,-5.69%,-3064.00万,-12.17%,化肥行业
2,600426,华鲁恒升,详情 数据 股吧,19.20,1.16%,1991.59万,12.42%,550.11万,3.43%,1441.48万,8.99%,-601.78万,-3.75%,-1389.82万,-8.67%,化肥行业
3,000731,四川美丰,详情 数据 股吧,4.83,0.42%,121.60万,3.55%,129.59万,3.78%,-7.99万,-0.23%,-59.36万,-1.73%,-62.24万,-1.81%,化肥行业
4,000912,泸天化,详情 数据 股吧,4.40,1.15%,105.60万,2.26%,2.25万,0.05%,103.35万,2.21%,-4.74万,-0.10%,-100.86万,-2.16%,化肥行业
5,002170,芭田股份,详情 数据 股吧,4.03,5.50%,26.08万,0.09%,-135.50万,-0.48%,161.57万,0.57%,-719.71万,-2.54%,693.63万,2.45%,化肥行业
6,600470,六国化工,详情 数据 股吧,4.08,9.97%,-2.01万,-0.01%,627.80万,2.19%,-629.82万,-2.20%,-394.59万,-1.38%,396.60万,1.39%,化肥行业
7,600423,ST柳化,详情 数据 股吧,2.98,-0.33%,-27.09万,-9.37%,0.00,0.00%,-27.09万,-9.37%,-17.82万,-6.17%,44.91万,15.54%,化肥行业
8,000830,鲁西化工,详情 数据 股吧,9.57,1.16%,-52.56万,-0.14%,-419.07万,-1.11%,366.50万,0.97%,-38.51万,-0.10%,91.08万,0.24%,化肥行业
9,000422,ST宜化,详情 数据 股吧,2.65,0.00%,-94.48万,-6.11%,-12.74万,-0.82%,-81.74万,-5.28%,99.42万,6.43%,-4.95万,-0.32%,化肥行业
10,002538,司尔特,详情 数据 股吧,4.87,1.46%,-181.98万,-0.78%,680.14万,2.91%,-862.12万,-3.69%,109.99万,0.47%,71.99万,0.31%,化肥行业
11,000953,*ST河化,详情 数据 股吧,4.42,-3.70%,-232.09万,-9.02%,0.00,0.00%,-232.09万,-9.02%,121.33万,4.72%,110.75万,4.30%,化肥行业
12,600691,阳煤化工,详情 数据 股吧,1.87,-0.53%,-414.06万,-21.67%,0.00,0.00%,-414.06万,-21.67%,214.31万,11.22%,199.75万,10.45%,化肥行业
13,000408,藏格控股,详情 数据 股吧,6.66,-1.62%,-508.66万,-10.61%,-104.34万,-2.18%,-404.31万,-8.44%,-165.76万,-3.46%,674.41万,14.07%,化肥行业
14,000893,东凌国际,详情 数据 股吧,5.80,-1.19%,-520.33万,-31.73%,0.00,0.00%,-520.33万,-31.73%,236.39万,14.41%,283.94万,17.31%,化肥行业
15,002539,云图控股,详情 数据 股吧,4.49,-1.10%,-554.32万,-10.30%,-181.11万,-3.37%,-373.21万,-6.93%,155.25万,2.88%,399.07万,7.42%,化肥行业
16,000155,川能动力,详情 数据 股吧,4.94,0.61%,-834.97万,-6.61%,-355.29万,-2.81%,-479.69万,-3.80%,-294.08万,-2.33%,1129.06万,8.94%,化肥行业
